iter	Passed	Remaining
0	156	31061
1	178	17709
2	198	13063
3	220	10782
4	242	9438
5	262	8482
6	284	7845
7	306	7346
8	326	6938
9	348	6627
10	369	6340
11	389	6108
12	408	5874
13	426	5664
14	445	5488
15	464	5342
16	485	5225
17	503	5091
18	524	4995
19	542	4882
20	560	4773
21	578	4680
22	595	4584
23	613	4502
24	631	4419
25	651	4359
26	669	4288
27	688	4227
28	706	4167
29	723	4098
30	739	4029
31	756	3970
32	771	3904
33	787	3845
34	805	3798
35	821	3741
36	838	3692
37	855	3648
38	871	3597
39	890	3561
40	908	3525
41	927	3489
42	945	3453
43	965	3424
44	982	3383
45	1003	3358
46	1022	3327
47	1039	3292
48	1057	3260
49	1075	3225
50	1095	3201
51	1117	3180
52	1135	3150
53	1152	3115
54	1170	3086
55	1188	3055
56	1205	3024
57	1223	2995
58	1239	2962
59	1259	2938
60	1278	2913
61	1295	2884
62	1312	2853
63	1329	2825
64	1348	2800
65	1365	2773
66	1382	2744
67	1403	2724
68	1420	2696
69	1436	2667
70	1454	2643
71	1473	2618
72	1499	2608
73	1535	2613
74	1573	2622
75	1611	2629
76	1633	2610
77	1666	2607
78	1689	2587
79	1712	2568
80	1732	2545
81	1749	2516
82	1767	2492
83	1786	2466
84	1805	2443
85	1835	2433
86	1869	2428
87	1896	2413
88	1915	2389
89	1931	2361
90	1950	2336
91	1965	2307
92	1981	2279
93	1998	2253
94	2014	2226
95	2036	2206
96	2058	2185
97	2078	2162
98	2096	2139
99	2173	2173
100	2206	2162
101	2236	2148
102	2273	2141
103	2300	2123
104	2323	2102
105	2344	2078
106	2368	2058
107	2389	2035
108	2408	2010
109	2428	1987
110	2449	1964
111	2471	1941
112	2492	1918
113	2513	1896
114	2536	1874
115	2558	1852
116	2578	1828
117	2599	1806
118	2621	1784
119	2644	1763
120	2669	1742
121	2691	1720
122	2715	1699
123	2733	1675
124	2752	1651
125	2767	1625
126	2785	1601
127	2803	1576
128	2820	1552
129	2840	1529
130	2858	1505
131	2877	1482
132	2896	1459
133	2914	1435
134	2935	1413
135	2954	1390
136	2974	1367
137	2995	1345
138	3017	1324
139	3038	1302
140	3056	1279
141	3076	1256
142	3096	1234
143	3115	1211
144	3135	1189
145	3155	1167
146	3179	1146
147	3198	1123
148	3215	1100
149	3237	1079
150	3255	1056
151	3276	1034
152	3293	1011
153	3311	989
154	3332	967
155	3349	944
156	3367	922
157	3384	899
158	3402	877
159	3420	855
160	3440	833
161	3456	810
162	3474	788
163	3493	766
164	3511	744
165	3535	724
166	3557	703
167	3576	681
168	3593	659
169	3609	636
170	3626	615
171	3642	592
172	3661	571
173	3678	549
174	3697	528
175	3714	506
176	3732	484
177	3753	463
178	3771	442
179	3791	421
180	3811	400
181	3834	379
182	3852	357
183	3871	336
184	3892	315
185	3912	294
186	3932	273
187	3953	252
188	3974	231
189	3994	210
190	4012	189
191	4029	167
192	4045	146
193	4065	125
194	4083	104
195	4103	83
196	4121	62
197	4139	41
198	4156	20
199	4176	0
